,Country name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Afghanistan,49.20959327373095,4.151216208279401,-1.340474037486219,-8.241434648032492,-1.206863990689257,4.115461289538403,-4.238887005753876,6.549300486277293,0.0305047947547104,7.557864903091511,-21.440532720422272,-5.13320340824963,-13.7121023720065
1,Albania,39.55361215182591,4.52608683560793,-5.534923926475615,-1.5184493484384654,-0.5518685625521575,-17.91046137806262,-0.312762080608824,6.875586451429224,10.01574875208893,62.319035551138064,-31.76909992352455,23.103864485916528,57.124521667718014
2,Algeria,27.487770681829545,6.786356644896608,-7.120374397589872,7.816275445034034,0.2785731306038643,-21.763027334103363,-12.849175960067416,-5.92180452302008,-7.603818322538372,-2.2484972666664547,-9.897631132034045,4.694321111562046,60.92165714678575
3,Armenia,0.0091087536104392,9.40390096433742,18.028596214516703,-3.677369943315549,3.6088998616944648,-9.550810115207646,2.50898754506129,0.4929064409413973,-5.437341402833404,4.874512025920627,0.8253256636206359,-2.7818097753359687,98.41027685125675
4,Australia,20.94881797150787,13.459988749672966,2.810097875578399,-5.511906978714685,-7.747728947077482,-17.02220687181726,-0.5148957689049951,3.179056777668454,-1.8716184802361933,-6.15897176906211,1.7126128324183396,8.388762854424959,-12.337661179670974
5,Austria,-5.74869777533805,4.209772039900304,-7.322625022502033,3.704043863028564,1.1198622109714391,-15.58649625058502,1.4372380233303348,1.6038956189444469,5.118673698610369,-4.247732560416549,2.3881339678327542,4.0392830200410135,111.19527411618556
6,Azerbaijan,5.671810426303676,3.809468232922709,8.886891351008218,4.436276981394235,3.215996313941877,-23.615547620695025,-43.71211942069469,-14.899841608108115,2.0590968670638903,14.008272570670664,8.671461195955594,-3.2025105160944376,43.17690508143178
7,Bahrain,7.043491660739794,11.250842177142818,-1.5338149421214493,-22.64067090954376,-1.012675828265703,-0.3740965926505621,-0.5410867389002276,-2.161912104213685,2.20920561953022,-2.0045716075706856,3.578740341233097,2.2252484013301244,169.4456191835223
8,Bangladesh,-0.4278622971114902,-11.929370007935042,-4.8644393740154745,12.17672621743082,3.256047659685649,3.2717023429544483,3.2777774242270654,0.3728446617317305,-2.9509344316928185,-0.4316018575903388,-0.1494511419058097,0.2560719261643216,34.726231352527726
9,Belarus,8.557450560665336,-59.78726409018321,-43.75799281829764,10.95122636524626,-14.26073339493889,-42.3083561698581,-25.68545327117889,11.190390030822147,7.088764287076354,3.995732596054349,-7.118167094583924,1.1049459185094328,-32.224774279039565
10,Belgium,-4.754609718534574,4.475853392219651,-8.630180064470112,3.5920041618712872,3.1443568101835804,-16.286917053278188,-0.9348618845471728,1.9501885984476792,4.512889910569804,-3.219006370525693,3.297974022848225,48.36931228264754,49.703684236429126
11,Belize,10.357808941195568,15.088598308438923,13.18539425132737,7.310648562340189,64.11811409124331,-19.54743565460633,-4.025332118916829,2.281388686147197,1.3863418905507254,4.036127194313502,-19.76851200399729,33.30681900845681,72.64356596889442
12,Benin,16.338784220911847,12.104760860200283,-6.132826760762189,11.027739346335338,7.540615898241924,-23.05935798334962,33.419901905978534,14.04668826547586,9.769643061172982,12.400326532893388,-32.53225850276017,21.7354584597099,57.95041730532095
13,Bhutan,10.759974323270091,5.47973914375323,-10.931061964949542,-10.451545138345224,-5.571798589737176,0.5680997444717706,2.901499840479693,10.39429110138461,-17.690370814308775,16.863294466585955,-8.106390848486003,-14.870241684176744,62.6138770576007
14,Bosnia and Herzegovina,-5.629002311990415,5.904254673032231,-8.206839948841624,3.510350834426511,0.7052630575324954,-15.435031445100355,2.2888304085012727,2.645506603171504,6.6025403985820175,-1.6130444223527207,7.023419233878931,6.172591053466329,92.90975980274546
15,Botswana,3.0661280596078733,-7.185622564426722,-14.628241504336913,-7.799903557066334,-4.318966917492848,-5.14451185776196,0.4672797406792299,14.463658941589632,4.962406624190841,-44.208329426460885,-6.244256970811406,53.05599894072622,48.71668587498553
16,Brazil,11.2461423048401,17.58584912703847,-7.090242989820892,-7.139871421865736,-6.923069782297429,-32.90780029811573,-7.165455400038084,11.64331728131314,-11.813199138209256,-7.240882283333553,-20.725075775067552,-12.145189074963207,3.835598149042197
17,Bulgaria,-1.1278029080011351,6.9421372239467605,-4.452296885255066,8.616594825629377,7.383945128586002,-10.624022848838006,8.587567498821773,9.386790698230891,12.914342440024786,1.7708497336778342,10.008543105818983,12.43244028864898,14.819332917624
18,Burkina Faso,6.529948886196186,19.76126121238957,1.8535517970104,10.922889728133615,7.249947864829218,-8.444266525611507,10.453285251230836,12.606954149372967,9.543680710261269,15.551505506064965,-31.556915544442276,20.11032891441796,44.77243381235024
19,Cambodia,15.95180539579682,14.64714804082725,16.053504144233806,22.726280564048505,22.90356508343955,20.604729055409447,9.795454215243543,14.458440599755487,-19.762341523630152,42.34716980229822,-46.78779568076515,16.142971341912382,73.43216159206739
20,Canada,13.063100723261714,3.796830544915032,-0.0403612849788892,-2.198379872307947,-6.2013344042032505,-13.184827154763962,-4.5003680402379125,2.603472124259347,0.4794084430677392,-1.6354998548038353,4.889290739426874,6.767935765357459,-7.419923477481886
21,Central African Republic,-7.57911260339493,7.638360759403219,-10.051027177048136,-2.6091620968872213,-12.466270112435357,-12.984819728872358,-5.660975596669967,7.857041148660097,69.47628958938986,9.632742613563796,-31.3826322018539,19.50449761113141,53.47950189085352
22,Chad,7.843583897938066,46.07803833070662,-20.1002186141061,11.233956670599488,5.309885208037246,-12.09655419519752,11.686767224525708,15.627052750794734,-16.059632152439093,42.93678794993601,-34.13661997895097,24.53670615691921,53.27464236424983
