Country Name,2022,2021,2020,2019
India,-0.034834507818811894,0.06381557319483032,-0.07695444462198939,-0.25963839025093843
China,2.9575003191233606,2.8894376423845967,2.799799897072428,2.658999156279872
Pakistan,-1.4490334191260297,-1.4168735100823426,-1.3857560372742712,-1.3145525350571066
Indonesia,0.7962969167111191,0.8866802845291147,0.8167200632966196,0.6634211523425552
Bangladesh,0.2448022751638959,0.18624108283357824,0.10240934695883457,0.09683042757835383
Nigeria,-0.7242156329338172,-0.7237050725778402,-0.7497065097580032,-0.7839753491874059
Ethiopia,-1.8579062282670744,-1.8961599766105501,-1.9710458979235321,-2.03543580242704
Egypt,-1.301550349209327,-1.3755899690976372,-1.5087195828212883,-1.6271592757298354
Philippines,-0.9252179921601119,-0.8976306855486751,-0.9637056403987323,-1.1289503793496651
Vietnam,0.4919016704101695,0.4253827261142225,0.29906013622671074,0.22383397006205374
United States,0.7842790789704063,0.875965513953124,1.0611582607274257,0.20678744358553083
Democratic Republic Of Congo,-2.0624002783799966,-2.0505160277698495,-2.095983253484902,-2.118605411032391
Tanzania,-1.749153669902181,-1.7990028130879288,-1.8610249467511786,-1.8798301145267524
Kenya,-1.2268811967629214,-1.188033349118649,-1.2409741315690135,-1.3253932873750602
Myanmar,-0.23186928199195986,-0.23355516511267557,-0.2521254058097006,-0.300201051032602
Uganda,-1.930470283958529,-2.157676595919823,-2.381239321995449,-2.5135995552019086
Russia,1.1190015870140158,1.1280832176270947,1.064893405235947,0.8057440986959139
Thailand,1.40239661610825,1.4051850615865358,1.3544097802686106,1.2809812727544545
Afghanistan,-2.207978163386697,-2.1014125104031596,-2.4312323569118264,-2.72977330680432
Sudan,-1.9758740758559503,-2.0442326753245283,-2.151070068543503,-2.242839608601982
Brazil,1.3857843518772899,1.4451164204492761,1.386495491022972,1.2504623567746251
Nepal,-0.5573760708449599,-1.1234925339507666,-1.7508148179244893,-1.2354045632375046
Mexico,0.7790921877923048,0.8825634704231647,0.9350327473487139,0.7540381322442101
Niger,-3.4713723432402617,-3.47910031592164,-3.494856188131281,-3.5325440823725325
Mozambique,-1.8383601032545847,-1.8270220076618364,-1.9387706700882503,-2.0201925469102515
Yemen,-1.141107138782277,-1.0884809544991274,-1.0988853759457144,-1.2846425262935246
Iran,1.2670852020767474,1.269646102594401,1.2565649634239127,1.1536383921618383
Turkey,1.54323566903889,0.9723822027334492,1.0560210357203321,1.0029777509591202
South Africa,0.6771210123621365,0.6906946698036778,0.524104239167273,0.29118363749765125
Germany,-0.2880333242620883,-0.2563462446276202,0.36275102420654265,0.25956942940911504
Madagascar,-1.2473520022490923,-1.254226358094076,-1.3072985574069698,-1.3837948221116432
Uzbekistan,-1.9682540881004544,-1.9790938122418653,-1.9345623005347152,-1.9374063988707182
Sri Lanka,0.8839343247204815,0.09206138041516203,-0.8904524341647598,-0.3725929711676821
Malawi,-2.1571282611068403,-2.1879741338077787,-2.260386706325596,-2.3322177862418276
Italy,1.4360264803188247,1.4278783285848928,1.5938780521905695,1.5396228414334632
Burkina Faso,-1.5554710861662977,-1.6160574935451124,-1.7190484870459706,-1.7733814808992128
Poland,0.582375497829162,2.6648372496944353,0.483008603740052,0.19026197076455637
Ghana,-0.39410290058009306,-0.42724878733482463,-0.5040668228704762,-0.5706120166877677
Chad,-2.6492801493430798,-2.7070367292058273,-2.782592877196407,-2.805795221584012
Morocco,0.48029928863940763,0.4663834433500583,0.4217444854831362,0.41217785712209
Iraq,-1.3725969629557986,-1.3605610825805237,-1.4783817019046546,-1.613021845940696
Cambodia,-0.4382163892041522,-0.47721682477797234,-0.5863080779681716,-0.5962938359198275
Mali,-1.6500842629489063,-1.6973669385169594,-1.7635689715240193,-1.758252318229255
France,1.1745792628487568,1.1349974042403375,1.1342334509301542,1.1233875748586022
Cameroon,-1.1639403041625114,-1.183402879224188,-1.232986944761433,-1.317819190688597
Rwanda,-2.0525000643747413,-2.103379619594632,-2.1827349321937,-2.2274983859508444
Angola,-1.1048393352333514,-1.163072908326657,-1.225808566231142,-1.3250435080568805
Burundi,-2.216787500099722,-2.2166318596036763,-2.240570224820922,-2.441243203701291
Algeria,0.4325675268930647,0.37765093193208515,0.37360059175266275,0.3179319415191674
Zimbabwe,-1.8923437875400642,-1.8703314333920726,-1.9366524997931123,-1.9643413504482996
Ukraine,3.3071392743688346,16.01350913935882,1.3148987700932242,1.0502901205683013
Zambia,-1.6429579112633141,-1.699828881479494,-1.802380437053715,-1.914342541099083
United Kingdom,0.7579073758098951,0.43089787866823387,1.6544303333911676,1.1885183883854757
Japan,1.5999027028227284,1.5435554555519628,1.5109545550420067,1.3197889116451809
Syrian Arab Republic,-3.3120858401689017,-2.181785068551211,-1.1466203605087022,-1.8251598713720125
North Korea,0.4278340068459674,0.36207605997032144,0.2936948974221924,0.22066405359650654
South Korea,0.07881464772000632,0.2577953904212773,0.12883127810584347,-0.22374264903781632
Somalia,-1.8986628420931537,-1.9310406578878523,-2.023977566435191,-2.307169536182486
Colombia,1.3103978707748243,1.0260232981402233,0.5681559668176335,0.2435634124246726
Senegal,-1.5616493478826898,-1.609063100685,-1.705017179975547,-1.7685677862439644
Spain,0.09777101143859201,0.5576180295227458,1.191445806310262,0.7831810637123026
Papua New Guinea,-1.65284035476594,-1.761621841660194,-1.8824382528548105,-2.0174347056672794
Guinea,-1.676656479762334,-1.729718604566095,-1.8096027541243602,-1.9016398398560994
South Sudan,-1.148019700347633,-1.0978552722637085,-0.9304992139519636,-1.1246621671515706
