Country Name,2022,2021,2020,2019
China,-1.4619698719385519,-1.6359514120676897,-1.8217324164658983,-2.0566955332756534
India,-2.143921052963524,-2.0043123808800525,-2.1030395714877392,-2.238206576928729
United States,-0.7463650936696455,-0.6198265200093614,-0.40901566202289696,-1.2099202964163658
Brazil,-0.7764520214769879,-0.7291117806938618,-0.8051640532779524,-0.9470404670273266
Indonesia,-1.8137236863071151,-1.739089862795034,-1.81730012872338,-1.9853474414035108
Nigeria,-3.7225330186879235,-3.7658815498683795,-3.8360728546532536,-3.915526797438347
Japan,0.39248623535737115,0.3487133574376707,0.36806022426364465,0.20283665846251836
Russia,0.012714860702037152,0.0969929356776472,0.10327707196542826,-0.08041514817590736
Mexico,-1.0837820811035501,-0.9737706772124411,-0.9076794688744487,-1.0775308209996592
Pakistan,-2.7346356081231695,-2.632220996578308,-2.5385057112985034,-2.4003718056214938
Bangladesh,-2.885696733827904,-2.9749034345780854,-3.0947055805007486,-3.1368416592851376
Iran,-1.276151634281411,-1.3054732625080874,-1.3327092452866842,-1.4629847390240285
Turkey,-0.9725992974560563,-1.5621368351437634,-1.5068097908514504,-1.583804616429418
Germany,-0.9592065224265682,-0.8512580766370483,-0.15962223883853763,-0.18099353197965634
United Kingdom,-1.1037649391843685,-1.4162259023311816,-0.21416402197966047,-0.6631538580060028
Philippines,-2.147859212076805,-2.0544987886925496,-2.0536696741539315,-2.1509810444552215
France,-0.6185579363490428,-0.6311240657862096,-0.6128122613893545,-0.5985886611273429
Egypt,-1.835570860899234,-1.7973974691668653,-1.8259903948062812,-1.8399493936160163
Democratic Republic Of Congo,-4.419335371866442,-4.392102862905519,-4.42143964659482,-4.429050681999882
Argentina,-1.0240268346692523,-1.048163738470419,-1.0697520546605788,-1.094382633773389
Colombia,-0.7730225837658916,-1.0643114053295146,-1.5182889959775954,-1.8478239796334204
Italy,-0.13529694392530436,-0.10840787272338968,0.08440794996742527,0.0596758797828715
South Korea,-0.11302130656267351,0.1716655350084062,0.12884228995721994,-0.11814855216663418
South Africa,-1.5589639482987698,-1.5456789679442333,-1.7133595078978703,-1.9461185266169176
Spain,-1.530367123493796,-1.061522842346883,-0.40891573687078925,-0.78901539458503
Vietnam,-2.476064715437264,-2.560439282994086,-2.6960219026182055,-2.791802590173927
Thailand,-1.4844628243888283,-1.5046449824342623,-1.5779392605742928,-1.6664964632417456
Algeria,-2.1908239514074674,-2.2875237762195897,-2.343356457868354,-2.4426609008859637
Canada,-3.0201893816415617,-1.914529735177678,-0.6632014685115896,-1.1755391041753407
Iraq,-2.5507254116763822,-2.485398079979369,-2.5539898945936383,-2.6306265349102813
Saudi Arabia,-1.7130582711075315,-1.516647520072804,-0.13192143592824468,-0.7336965352556329
Ethiopia,-4.575945061328086,-4.605176306483124,-4.675354923023244,-4.72956708644961
Peru,-1.1511680887322604,-1.2429406990736853,-1.4736284104010917,-1.6901612075949246
Malaysia,-1.7101899079174083,-1.7287349064436845,-1.7957906745100363,-1.9008346568300138
Ukraine,2.444828736290324,15.124708214994644,0.6028428974657393,0.40830773739343973
Venezuela,-1.9279928570173874,-0.4195506777758441,0.977832690214643,1.6441675065574701
Tanzania,-4.764708911209925,-4.8420028998724876,-4.924643139107405,-4.971377605501418
Angola,-3.8428472184602964,-3.9336279018436247,-4.02839873749401,-4.15403195170903
Morocco,-1.8077564497582668,-1.831834064566182,-1.8692412287500495,-1.8855802780294795
Australia,-2.4884599255561834,-1.4084728645066946,-0.2807085750185417,-1.35985404812477
Poland,0.23043267575719784,2.412539820112471,0.34905608582597425,0.16520228149918575
Ghana,-2.9253188797943284,-2.974475280937643,-3.0627579775917226,-3.141634595200534
Uzbekistan,-2.2267471287462657,-2.131903144884123,-1.9777030673148996,-1.870691598250826
Myanmar,-1.7846483236473907,-1.713128104901632,-1.666248877480942,-1.638275509334345
Sudan,-3.6015448608781573,-3.579671378263162,-3.5946793406933137,-3.5938928695783163
Chile,-0.24519582933823866,-0.6713750245589628,-1.0908891866723673,-1.4458833658061705
Cameroon,-3.51396545532635,-3.5351292744319562,-3.5862888068116647,-3.6763908299105403
Netherlands,-1.3096935352901886,-1.2835933241591184,-0.8831849344165241,-0.942144451208907
North Korea,-0.8019027454479213,-0.8079035551755981,-0.8171083701516038,-0.8273166511582365
Kenya,-3.6680945595124657,-3.6132498634888695,-3.6381844799240413,-3.6981275671373166
Yemen,-3.765427195298545,-3.7252928410834993,-3.7352564515523863,-3.9208101559734585
Syrian Arab Republic,-5.805384810830576,-4.714822110297993,-3.713968346489431,-4.386954871816499
Mozambique,-4.157749225387291,-4.13110491045721,-4.23316197956232,-4.2935992843683985
Uganda,-4.966624191323728,-5.202281646978051,-5.430469669069326,-5.576366965813706
Madagascar,-3.9772649660490074,-4.003338260338243,-4.063434994919273,-4.1555530424437
Ecuador,-1.3807254688579937,-1.4491993028453498,-1.4745257054639618,-1.6687462530673234
Belgium,-1.1931617260994867,-0.8888422356906208,-0.4493303895214183,-0.4686422937210893
