Unnamed: 0,Entity,Code,2017,2018,2019,2020,2021,2022
61,France,FRA,2.852085,2.87041,2.9994998,3.0781171,3.04,3.1665845
62,Gabon,GAB,3.592743,3.5610347,3.5824416,3.6016064,3.61,3.6665714
63,Gambia,GMB,2.9294674,2.924365,2.9147084,2.93154,3.0,3.0647352
64,Germany,DEU,2.918413,2.989111,3.0418954,3.1095264,3.1,3.2962105
65,Ghana,GHA,3.8248894,3.820019,3.8368158,3.8738208,3.89,3.9721189
66,Greece,GRC,3.238996,3.2265134,3.285671,3.277043,3.25,3.462873
67,Grenada,GRD,4.9966764,5.017822,5.0026994,5.0987854,5.12,5.2776403
68,Guatemala,GTM,2.6862664,2.7840817,2.8935106,2.9838889,3.0,3.0647352
69,Guinea,GIN,2.5093927,2.5790524,2.628537,2.6802652,2.75,2.8332596
70,Guinea-Bissau,GNB,3.261105,3.2696774,3.2962701,3.3503315,3.44,3.453614
71,Guyana,GUY,5.118277,5.1149406,5.1192875,5.119725,5.12,5.1202374
72,Haiti,HTI,4.3444552,4.402734,4.5363464,4.7009335,4.81,4.870244
73,High-income countries,,3.3274326,3.3128414,3.3492649,3.4131503,3.41,3.499909
74,Honduras,HND,4.0128174,3.9818842,3.9004097,3.9471092,3.89,4.046191
75,Hong Kong,HKG,4.0238724,4.1113763,4.1653833,4.324022,4.43,4.518401
76,Hungary,HUN,3.7143433,3.7229,3.815618,3.863351,3.71,4.1758175
77,Iceland,ISL,2.6309934,2.6006346,2.6709328,2.8268423,2.78,2.7962236
78,India,IND,3.1616137,3.097021,3.0948904,3.1514056,3.11,3.11103
79,Indonesia,IDN,4.079145,4.1221676,4.059394,4.1774445,4.22,4.2961845
80,Iran,IRN,3.3274326,3.4639156,3.858014,3.7795925,4.17,4.7498765
81,Iraq,IRQ,3.7364528,3.744482,3.7520244,3.706304,3.67,3.7313848
82,Ireland,IRL,2.5757203,2.4495602,2.437756,2.3242924,2.24,2.2962365
83,Israel,ISR,2.774703,2.7840817,2.7557242,2.732614,2.75,2.7962236
84,Italy,ITA,3.0289586,3.053857,3.1902807,3.2351637,3.19,3.3425057
85,Jamaica,JAM,5.4609694,5.4818354,5.6068387,5.789792,5.82,5.94429
86,Japan,JPN,6.057917,6.0969234,5.9036093,6.072476,5.92,6.055398
87,Jordan,JOR,3.261105,3.2157223,3.2008796,3.2665732,3.23,3.1943614
88,Kazakhstan,KAZ,2.3435738,2.3200681,2.3847613,2.4603996,2.52,2.5832663
89,Kenya,KEN,3.0842316,2.989111,3.0206976,3.0467079,3.13,3.2776926
90,Kuwait,KWT,2.3988469,2.3848143,2.3847613,2.4499297,2.59,2.6758564
