Country name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,,6.738436564200323,9.188176611095077,-13.715215538585312,51.388130797625145,15.955402017192299,5.100738771854951,-0.855662864053941,3.4671320446741927,3.4537521248246605,0.14500494938527453,11.525251991815622,0.6566539439235575,9.860237418259853,-15.838644805600033,0.0,0.0
Albania,,15.883444951845327,18.368669826509397,-4.1456502704695914,43.18071306700071,7.95415813702296,-3.503331242522656,0.41917145361376473,1.0739964814738823,-14.40925302313605,-0.680079290393476,8.936184910631484,12.04380838280028,63.730126340680584,-30.14821330635451,25.145336117311977,63.84972438301861
Algeria,,11.987524486922885,17.82490931537888,-3.528715978355934,31.398832637169825,11.310568149949308,1.7710765130332984,11.070514555022504,3.1955000512784437,-16.978580327164472,-6.451481157379845,-0.33068861340344036,-3.333828117867532,-0.29672905613753464,-7.482500191199904,11.920384185716815,70.18717266230128
Argentina,,20.430043060504598,26.344773300717538,2.535085892830713,17.910324975771942,23.470236752088258,12.445802848349597,6.182948829597801,-12.358851568354135,5.859874884343763,-5.778681238292194,6.568357769650368,-25.266688003326855,-19.545064686918057,-8.906508751211362,11.277300990389993,8.252023428074207
Armenia,,29.911850042811427,22.776979998344583,-8.602578635058233,8.18547013834996,17.05390904293036,20.586616292095773,2.1122978421309613,6.590208551031185,-5.819118922590716,1.1053799860522906,1.4624597097575354,-2.9171075828170245,6.317958633627607,2.036761442005286,4.403026519097741,107.0511879409953
Australia,,16.123221650340767,3.8780609055006243,-2.9215894084524963,23.86715799828163,16.763838905760366,4.572878031710359,-3.062018337289285,-5.259806241763442,-15.513840150158053,0.7620951760682448,5.127704187113724,0.03978246422071674,-4.54820389615832,2.5595183698776447,11.252673276474901,-5.743564466252515
Austria,,12.322303169649263,10.651675299049002,-2.8271968034282557,-3.93516338538743,7.4963511886541045,-4.836949400731882,5.704200032034534,2.7256740405161795,-14.6899329153247,2.328829775985697,3.6851647328003168,7.117053512905769,-2.7168369188901087,3.7700446013513744,6.805949686707713,119.74214404807006
Azerbaijan,,50.79364645807076,32.80420859937998,11.010469730493554,11.398682672999726,11.66780156625611,9.95310474821125,6.851994434188424,4.5894381292736375,-19.587861883267767,-31.268744562257478,-1.9639231893746167,4.3276437708038795,16.618844398662812,11.431270666036863,3.447788610993352,57.02916409585848
Bahrain,,65.5096972153473,6.382978723404253,5.832147937411114,9.005376344086024,10.850801479654738,1.2235817575083408,-19.34065934065934,1.6348773841961872,1.4745308310992078,2.245706737120212,-0.7751937984496249,4.296875,-0.9987515605493158,1.2610340479193072,1.6189290161892744,173.07136022656712
Bangladesh,,7.877980099168447,12.306006571871375,18.119636441015597,7.69881409458768,-0.5342048526951415,1.3530648466773654,19.70713262656254,10.247686551894141,9.465982572804288,8.791303151157015,6.07491481890412,2.592686963171942,5.160394541715951,5.541623605556301,5.801726233899052,42.42318572429671
Belarus,,19.13360078572368,25.65510940771638,-13.517812055376178,16.293198603790415,-6.55856577836591,15.46174320495406,29.26348740303366,3.85882095773451,-28.773866404884597,-13.84887250582919,17.222227282600077,11.961066492583194,9.593888546452888,-1.570023520018815,10.565229814740462,-17.015099004958568
Belgium,,11.95109367557372,11.061901982138922,-2.226229549690828,-2.565310514310004,8.007935499447072,-5.790516630011123,4.7051001021466865,3.484359643540502,-15.725487900488123,1.0389907619846372,4.076159458473749,6.566054909221664,-1.7821868005614028,4.03876583506857,50.809560794088384,59.30119596515413
Belize,,6.816871830483473,9.816697838915278,8.517895895041505,11.275786320004455,16.690654464840925,14.48597499680595,7.820396331323409,65.31951373605389,-20.409019664034076,-3.3619049509992283,3.4290420792053578,1.6563245131970605,4.2231965794949256,-19.647077359382394,36.542455600827516,78.92045916336986
Benin,,16.58992849644698,17.85194968825161,2.912317425616462,18.54661954627708,14.808999937673084,0.6118557726449314,11.45662823522413,6.991858347293833,-22.840572059813468,32.626591760193,14.08995312098622,10.688813779059036,13.133175904134365,-29.50953730612248,23.46899808665026,59.301195941156216
Bhutan,,17.042915722889006,4.372836596041707,-2.4674114970713923,17.796357484000282,14.32872484322123,-0.011405020266541666,-1.6751616856630958,2.699262349756104,5.116243695293821,6.121386734436873,15.349374771235901,-14.966406952471644,19.589724840474275,-2.477025622160922,-7.523427278841444,68.2530437715644
Bosnia and Herzegovina,,61.883379392117696,24.874243764880788,2.5904972916620306,-3.632789944531545,9.575504673032231,-6.154165428824454,3.4173051505947516,-0.19193099666183766,-16.471054479355097,0.7047304085012529,3.455639925124543,8.019648538762358,-1.0502622682914908,5.9721232262440305,8.154230059342549,106.93060388542257
Botswana,,1.4388315704277899,-1.241608229109925,39.245423686323,10.015004647038905,1.2742497696591082,-7.0913388934177535,-1.9152964864981636,0.08328617494142154,-2.0824801619563793,3.2822376542986698,17.771939709271823,8.200422213667991,-41.43546499782767,-4.353897802569307,60.29697659661064,60.38225335378753
Brazil,,21.237352001255783,15.313944049214378,-0.729302779014529,16.28486920592085,24.22229874916937,-1.6867438494509224,-0.9355607554647261,-0.594029627136039,-23.877899273954373,1.5736881232558453,15.08969063163983,-8.148348854441966,-3.5079060711646126,-17.51330773703379,-3.8435293191064757,13.115704238610926
Bulgaria,,30.38443425504953,35.23358982826852,6.2633328746299455,1.311187697039995,11.16204068996549,-1.4977285869448465,9.506688366542381,5.965761325937602,-10.72865610984639,7.788917612368063,11.448386892662299,15.728887178273077,4.874579181645644,11.680984074376543,15.73018464164413,30.1445918440606
